population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
USA Arizona Pima,A,6,5,0.536,0.9888059701492538,0.9563517461553114
Mexico Oaxaca Mixe,A,6,6,0.9430000000000002,1.0,0.9582021429982494
Pakistan Kalash,A,78,31,0.866,0.9711316397228639,0.958448973615344
Mexico Oaxaca Zapotec,A,11,11,0.819,1.0,0.9595824308223841
Mexico Oaxaca Mixtec,A,11,11,0.794,1.0,0.9603617866987824
Singapore Chinese Han,A,12,12,0.7160000000000001,1.0,0.960947039720268
Brazil Terena,A,6,3,0.5670000000000001,0.5291005291005291,0.9613497648856251
Singapore Chinese,A,80,31,0.8230000000000001,0.9732685297691372,0.9618848005299062
Hong Kong Chinese,A,80,31,0.829,0.9831121833534378,0.9619900620946519
Singapore Thai,A,17,13,0.867,0.9238754325259516,0.9625045486215417
Israel Bukhara Jews,A,79,24,0.9997380000000002,0.7145592145142026,0.9626139072264109
China Guangxi Region Maonan,A,9,8,1.0,0.9949999999999999,0.9626228136297836
China South Han,A,17,14,0.78,0.9794871794871794,0.9627626832962682
Japan Hokkaido Ainu,A,10,8,0.8500000000000001,0.9764705882352941,0.9627627380046162
India West Coast Parsi,A,33,17,0.8500000000000001,0.5529411764705882,0.9629651330569848
China Beijing Shijiazhuang Tianjian Han,A,82,28,0.9860000000000001,0.8945233265720081,0.9632971430665538
China Jiangsu Han,A,37,26,1.0005000000000002,0.9820089955022487,0.9633711945592639
China Beijing,A,17,15,1.026,1.0,0.9635222719895502
China Guangzhou,A,17,15,0.997,0.9799398194583753,0.9636865236990673
India Khandesh Region Pawra,A,33,17,0.61,0.8852459016393444,0.9637435040110107
Thailand,A,21,18,0.777,0.9678249678249679,0.9637914712907272
China Jiangsu Province Han,A,26,23,0.9999999999999999,0.9842000000000002,0.9640705630448728
Taiwan pop 2,A,19,16,0.991,0.9969727547931384,0.964121636664817
USA South Dakota Lakota Sioux,A,13,10,0.784,0.9107142857142856,0.964129784643668
China Southwest Dai,A,15,15,0.9990000000000001,1.0,0.9643045277779528
Germany DKMS - China minority,A,49,28,0.9975,0.9689223057644109,0.9643219826944947
China Hubei Han,A,47,25,0.9994,0.9842905743446068,0.9643383488006539
South Africa Natal Zulu,A,80,31,0.89,0.9157303370786517,0.9645966160593843
Israel Arab Druze,A,23,16,0.8850000000000001,0.7909604519774011,0.9646471677522418
China Han HIV negative,A,15,14,1.001,0.9690309690309691,0.9646645127504768
Sudan Mixed,A,36,23,0.979,0.8682328907048009,0.964691814744798
China Yunnan Hani,A,11,11,0.9980000000000001,1.0,0.9647983601976727
Peru Titikaka Lake Uro,A,6,4,0.801,0.9875156054931336,0.964884801679241
Peru Titikaka Lake Uros,A,7,5,0.806,0.9875930521091811,0.9649555017363354
Mexico Oaxaca Jamiltepec Mixtec,A,16,13,0.9970000000000001,0.880641925777332,0.96498393872868
