test,x,y,given,n,rho,p,ci_lo,ci_hi,question
pairwise,anchor_ic,auroc,,123,0.5330796701365874,2.1889021515981815e-10,0.3930365964918895,0.651332959375509,baseline
pairwise,log_count,auroc,,123,-0.0541847777018225,0.5516830898033757,-0.24014579536873454,0.13160226894342583,baseline
pairwise,anchor_ic,log_count,,123,-0.0479649170897758,0.5983126638345397,-0.23884730440124793,0.1468913672193075,are they confounded
partial,anchor_ic,auroc,log_count,123,0.531873338862931,2.8987190425766585e-10,0.39041072916782665,0.6520237455719885,Q1 is anchor IC a data-volume effect
partial,log_count,auroc,anchor_ic,123,-0.03386102470923943,0.7111863693522262,-0.22246926663099206,0.15598474601832651,Q1 converse
pairwise,nn_dist,auroc,,123,-0.2806542896356786,0.0016650125969388493,-0.44216326008830636,-0.10271277480838227,baseline
pairwise,anchor_ic,nn_dist,,123,-0.3768050283989894,1.741164181013451e-05,-0.5214433204864359,-0.2102813215009049,are they confounded
partial,nn_dist,auroc,log_count,123,-0.32682986963045896,0.00023857298015173,-0.484658597251225,-0.14936186002938048,Q2 is isolation a data-volume effect
partial,nn_dist,auroc,anchor_ic,123,-0.10180783936539388,0.26449483551252606,-0.2837550517536903,0.08682448199653636,Q3 does isolation survive anchor IC
partial,anchor_ic,auroc,nn_dist,123,0.48064905517937956,2.1050206244765945e-08,0.3328457732673992,0.6115612631736935,Q3 does anchor IC survive isolation
