model,auroc,sensitivity,specificity,asymmetry,threshold,kind,model_a,model_b,margin_rho,worst_jaccard
sequence,0.9298696844993141,0.9444444444444444,0.8518518518518519,0.09259259259259256,0.5642841725303694,asymmetry,,,,
af3,0.8575102880658436,0.8518518518518519,0.787037037037037,0.06481481481481488,0.3224187317106275,asymmetry,,,,
af2,0.842335390946502,0.8796296296296297,0.7037037037037037,0.17592592592592593,-0.06911164024788131,asymmetry,,,,
esmfold2,0.805298353909465,0.8611111111111112,0.6759259259259259,0.18518518518518523,0.1083723415815614,asymmetry,,,,
boltz,0.744684499314129,0.8981481481481481,0.5555555555555556,0.34259259259259256,-0.285872732214215,asymmetry,,,,
,,,,,,overlap,sequence,af3,0.263,0.2
,,,,,,overlap,sequence,af2,0.169,0.227
,,,,,,overlap,sequence,esmfold2,0.247,0.241
,,,,,,overlap,sequence,boltz,0.199,0.213
,,,,,,overlap,af3,af2,0.22,0.161
,,,,,,overlap,af3,esmfold2,0.398,0.333
,,,,,,overlap,af3,boltz,0.253,0.241
,,,,,,overlap,af2,esmfold2,0.219,0.2
,,,,,,overlap,af2,boltz,0.29,0.271
,,,,,,overlap,esmfold2,boltz,0.524,0.317
